date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:31:41	12160/12160	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2013%20Feb%202023%2009:40:55%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-600-semibold-latin-ext.woff2	C:/Users/joaqu/OneDrive/Escritorio/httrack/class%20central%202/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-600-semibold-latin-ext.woff2	(from https://www.classcentral.com/)
14:31:41	13108/13108	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2013%20Feb%202023%2009:40:55%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-600-semibold-latin.woff2	C:/Users/joaqu/OneDrive/Escritorio/httrack/class%20central%202/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-600-semibold-latin.woff2	(from https://www.classcentral.com/)
14:31:42	5224/5224	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2013%20Feb%202023%2009:40:40%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-700-bold-cyrillic-ext.woff2	C:/Users/joaqu/OneDrive/Escritorio/httrack/class%20central%202/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-700-bold-cyrillic-ext.woff2	(from https://www.classcentral.com/)
14:31:42	7484/7484	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2013%20Feb%202023%2009:40:55%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-700-bold-cyrillic.woff2	C:/Users/joaqu/OneDrive/Escritorio/httrack/class%20central%202/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-700-bold-cyrillic.woff2	(from https://www.classcentral.com/)
14:31:43	6244/6244	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2013%20Feb%202023%2009:40:55%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-700-bold-greek-ext.woff2	C:/Users/joaqu/OneDrive/Escritorio/httrack/class%20central%202/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-700-bold-greek-ext.woff2	(from https://www.classcentral.com/)
14:31:44	6696/6696	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2013%20Feb%202023%2009:40:55%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-700-bold-greek.woff2	C:/Users/joaqu/OneDrive/Escritorio/httrack/class%20central%202/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-700-bold-greek.woff2	(from https://www.classcentral.com/)
14:31:44	4572/4572	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2013%20Feb%202023%2009:40:55%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-700-bold-vietnamese.woff2	C:/Users/joaqu/OneDrive/Escritorio/httrack/class%20central%202/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-700-bold-vietnamese.woff2	(from https://www.classcentral.com/)
14:31:45	12168/12168	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2013%20Feb%202023%2009:40:55%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-700-bold-latin-ext.woff2	C:/Users/joaqu/OneDrive/Escritorio/httrack/class%20central%202/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-700-bold-latin-ext.woff2	(from https://www.classcentral.com/)
14:31:45	12976/12976	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2013%20Feb%202023%2009:40:55%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-700-bold-latin.woff2	C:/Users/joaqu/OneDrive/Escritorio/httrack/class%20central%202/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-700-bold-latin.woff2	(from https://www.classcentral.com/)
14:31:45	990/990	---M--	200	added ('OK')	image/png	date:Mon,%2013%20Feb%202023%2009:40:40%20GMT	https://www.classcentral.com/images/fade-gradient.png	C:/Users/joaqu/OneDrive/Escritorio/httrack/class%20central%202/www.classcentral.com/images/fade-gradient.png	(from https://www.classcentral.com/)
